"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1,"1","2025-01-25T12:11:09.211264Z",108,"[{""start"":6,""end"":19,""text"":""Omar Marmoush"",""labels"":[""PLAYR""]},{""start"":181,""end"":196,""text"":""Manchester City"",""labels"":[""TEAM""]}]",18.597,"While Omar Marmoush has been a relatively successful goalscorer in the German Bundesliga for a few seasons, he has had to patiently wait for his big break before being announced as Manchester City' s third January signing on Thursday after a prolific start to the season.","2025-01-25T12:11:09.211264Z"
2,"1","2025-01-25T12:11:24.308029Z",109,"[{""start"":27,""end"":40,""text"":""Mohamed Salah"",""labels"":[""PLAYR""]},{""start"":58,""end"":66,""text"":""Marmoush"",""labels"":[""PLAYR""]},{""start"":15,""end"":24,""text"":""Liverpool"",""labels"":[""TEAM""]}]",14.66,"A team-mate of Liverpool's Mohamed Salah for his country, Marmoush has become one of the breakout stars in Europe this season with 20 goals in 26 games for Frankfurt - 15 in the Bundesliga.","2025-01-25T12:11:24.308029Z"
3,"1","2025-01-25T12:11:33.042192Z",110,"[{""start"":13,""end"":21,""text"":""AC Milan"",""labels"":[""TEAM""]},{""start"":49,""end"":64,""text"":""Manchester City"",""labels"":[""TEAM""]},{""start"":73,""end"":84,""text"":""Kyle Walker"",""labels"":[""PLAYR""]}]",8.344,"Italian club AC Milan have agreed a deal to sign Manchester City captain Kyle Walker on loan for the remainder of the season.","2025-01-25T12:11:33.042192Z"
4,"1","2025-01-25T12:11:42.082227Z",111,"[{""start"":0,""end"":8,""text"":""AC Milan"",""labels"":[""TEAM""]},{""start"":36,""end"":53,""text"":""Manchester United"",""labels"":[""TEAM""]},{""start"":62,""end"":77,""text"":""Marcus Rashford"",""labels"":[""PLAYR""]}]",8.657,"AC Milan have also been linked with Manchester United forward Marcus Rashford but registration rules in Italy mean they are only able to sign one player from the UK during the current transfer window.","2025-01-25T12:11:42.082227Z"
5,"1","2025-01-25T12:11:59.184369Z",112,"[{""start"":32,""end"":36,""text"":""City"",""labels"":[""TEAM""]},{""start"":45,""end"":53,""text"":""West Ham"",""labels"":[""TEAM""]}]",16.671,"The full-back last featured for City against West Ham on 4 January, after which he told manager Pep Guardiola he wanted to explore his options around a potential move abroad.","2025-01-25T12:11:59.184369Z"
6,"1","2025-01-25T12:12:41.534146Z",113,"[{""start"":11,""end"":22,""text"":""Amad Diallo"",""labels"":[""PLAYR""]},{""start"":100,""end"":107,""text"":""Rangers"",""labels"":[""TEAM""]},{""start"":35,""end"":46,""text"":""Ross County"",""labels"":[""TEAM""]}]",41.926,"The moment Amad Diallo appeared at Ross County's back post to score five minutes into his debut for Rangers in January 2022, some of the 19-year-old's new team-mates looked at each other with a sense of excitement and anticipation.","2025-01-25T12:12:41.534146Z"
7,"1","2025-01-25T12:14:28.732683Z",114,"[{""start"":51,""end"":65,""text"":""James Maddison"",""labels"":[""PLAYR""]},{""start"":90,""end"":98,""text"":""Aberdeen"",""labels"":[""TEAM""]},{""start"":128,""end"":135,""text"":""Rangers"",""labels"":[""TEAM""]},{""start"":140,""end"":144,""text"":""Dons"",""labels"":[""TEAM""]}]",106.718,"""Watching him in training, he reminded me a bit of James Maddison, who I'd played with at Aberdeen,"" says Ryan Jack, the former Rangers and Dons man.","2025-01-25T12:14:28.732683Z"
8,"1","2025-01-25T12:14:45.080069Z",115,"[{""start"":31,""end"":37,""text"":""Diallo"",""labels"":[""PLAYR""]},{""start"":50,""end"":57,""text"":""Arfield"",""labels"":[""PLAYR""]},{""start"":59,""end"":71,""text"":""Aaron Ramsey"",""labels"":[""PLAYR""]},{""start"":73,""end"":82,""text"":""Joe Aribo"",""labels"":[""PLAYR""]},{""start"":87,""end"":99,""text"":""Scott Wright"",""labels"":[""PLAYR""]},{""start"":165,""end"":184,""text"":""Heart of Midlothian"",""labels"":[""TEAM""]},{""start"":208,""end"":221,""text"":""Dundee United"",""labels"":[""TEAM""]}]",15.853,"The intensity was too much and Diallo faded away. Arfield, Aaron Ramsey, Joe Aribo and Scott Wright were all given time in his position. He got five minutes against Heart of Midlothian and 17 minutes against Dundee United.","2025-01-25T12:14:45.080069Z"
9,"1","2025-01-25T12:15:29.849296Z",116,"[{""start"":0,""end"":15,""text"":""Manchester City"",""labels"":[""TEAM""]},{""start"":81,""end"":97,""text"":""Paris St-Germain"",""labels"":[""TEAM""]},{""start"":105,""end"":114,""text"":""Liverpool"",""labels"":[""TEAM""]},{""start"":128,""end"":135,""text"":""Arsenal"",""labels"":[""TEAM""]},{""start"":157,""end"":168,""text"":""Aston Villa"",""labels"":[""TEAM""]},{""start"":173,""end"":179,""text"":""Celtic"",""labels"":[""TEAM""]}]",44.314,"Manchester City are in major danger of elimination after Wednesday's collapse at Paris St-Germain, while Liverpool are through, Arsenal are almost there and Aston Villa and Celtic - who meet - are somewhere in between.","2025-01-25T12:15:29.849296Z"
10,"1","2025-01-25T12:15:56.946895Z",117,"[{""start"":0,""end"":15,""text"":""Marcus Rashford"",""labels"":[""PLAYR""]},{""start"":47,""end"":64,""text"":""Manchester United"",""labels"":[""TEAM""]}]",26.662,"Marcus Rashford accepts he may have to stay at Manchester United for the rest of the season after failing to secure a move in the first three and a half weeks of the transfer window.","2025-01-25T12:15:56.946895Z"
