sequence,labels,scores,original_article,is_football_article
wales want rugby league training wales could follow england s lead by training with a rugby league club.  england have already had a three-day session with leeds rhinos  and wales are thought to be interested in a similar clinic with rivals st helens. saints coach ian millward has given his approval  but if it does happen it is unlikely to be this season. saints have a week s training in portugal next week  while wales will play england in the opening six nations match on 5 february.  we have had an approach from wales   confirmed a saints spokesman.  it s in the very early stages but it is something we are giving serious consideration to.  st helens  who are proud of their welsh connections  are obvious partners for the welsh rugby union  despite a spat in 2001 over the collapse of kieron cunningham s proposed £500 000 move to union side swansea. a similar cross-code deal that took iestyn harris from leeds to cardiff in 2001 did go through  before the talented stand-off returned to the 13-man code with bradford bulls. kel coslett  who famously moved from wales to league in the 1960s  is currently saints  football manager  while clive griffiths - wales  defensive coach - is a former st helens player and is thought to be the man behind the latest initiative. scott gibbs  the former wales and lions centre  played for st helens from 1994-96 and was in the challenge cup-winning team at wembley in 1996.,"['Football', 'Soccer', 'Business', 'Technology']","[0.8955304622650146, 0.0580826960504055, 0.02978290431201458, 0.016603995114564896]",wales want rugby league training wales could follow england s lead by training with a rugby league club.  england have already had a three-day session with leeds rhinos  and wales are thought to be interested in a similar clinic with rivals st helens. saints coach ian millward has given his approval  but if it does happen it is unlikely to be this season. saints have a week s training in portugal next week  while wales will play england in the opening six nations match on 5 february.  we have had an approach from wales   confirmed a saints spokesman.  it s in the very early stages but it is something we are giving serious consideration to.  st helens  who are proud of their welsh connections  are obvious partners for the welsh rugby union  despite a spat in 2001 over the collapse of kieron cunningham s proposed £500 000 move to union side swansea. a similar cross-code deal that took iestyn harris from leeds to cardiff in 2001 did go through  before the talented stand-off returned to the 13-man code with bradford bulls. kel coslett  who famously moved from wales to league in the 1960s  is currently saints  football manager  while clive griffiths - wales  defensive coach - is a former st helens player and is thought to be the man behind the latest initiative. scott gibbs  the former wales and lions centre  played for st helens from 1994-96 and was in the challenge cup-winning team at wembley in 1996.,Yes
pearce keen on succeeding keegan joint assistant boss stuart pearce has admitted he would like to succeed kevin keegan as manager at manchester city.  keegan has decided to step down as city manager when his contract comes to an end in 18 months.  you don t have to be einstein to realise there will be a manager s job available at a really good club   pearce told bbc gmr.  i will certainly be applying for it  although whether the board deem me good enough to take it  i do not know.  pearce initially joined city as a player under keegan in 2001 before becoming part of the coaching staff. he was promoted to joint assistant-manager following the departure of arthur cox last summer.  the former england defender had a year as player-boss with nottingham forest eight seasons ago but has made no secret of his desire to have another crack at the job. he was linked with the manager s job at oldham and keegan has stated he would not get in the way if pearce wanted to leave. but it now appears pearce is keen to wait for his chance at city. he added:  by that time  i will have been here for five years so at least they will have had a good look at me and they are aware of my feelings with regard to being kevin s successor.  obviously  the issue is out of my hands but it is a fantastic job for anybody - i just hope it will be me.,"['Football', 'Soccer', 'Business', 'Technology']","[0.7398119568824768, 0.2582278251647949, 0.0014722165651619434, 0.00048796107876114547]",pearce keen on succeeding keegan joint assistant boss stuart pearce has admitted he would like to succeed kevin keegan as manager at manchester city.  keegan has decided to step down as city manager when his contract comes to an end in 18 months.  you don t have to be einstein to realise there will be a manager s job available at a really good club   pearce told bbc gmr.  i will certainly be applying for it  although whether the board deem me good enough to take it  i do not know.  pearce initially joined city as a player under keegan in 2001 before becoming part of the coaching staff. he was promoted to joint assistant-manager following the departure of arthur cox last summer.  the former england defender had a year as player-boss with nottingham forest eight seasons ago but has made no secret of his desire to have another crack at the job. he was linked with the manager s job at oldham and keegan has stated he would not get in the way if pearce wanted to leave. but it now appears pearce is keen to wait for his chance at city. he added:  by that time  i will have been here for five years so at least they will have had a good look at me and they are aware of my feelings with regard to being kevin s successor.  obviously  the issue is out of my hands but it is a fantastic job for anybody - i just hope it will be me.,Yes
mourinho expects fight to finish chelsea manager jose mourinho expects the champions league clash with barcelona to be a fight to the finish.  mourinho is relishing the first leg of the tie against his former club in the last 16 in the nou camp. he said:  i wouldn t be surprised if nothing had been decided by the last minute of the return leg and the match had to go into extra time.  i have to defend what is mine and the champions league is mine at the moment. i m the last manager to have won it.  mourinho never coached barcelona  assisting both sir bobby robson and louis van gaal. but he is not envious  insisting:  i don t have to be jealous about barcelona because they have 100 years of history and have won the european cup once.   i have been managing for five years and i have the same amount of champions league trophies to my name.  barcelona star ronaldinho admitted:  i think that it is going to be a difficult match for us because chelsea have a good team full of big stars.  i have seen chelsea a few times on television  tactically they are very good and they are very strong on the counter-attack.  they pressure very well and keep possession of the ball so it will be important that we play our own game.  i believe they are the two strongest teams in europe. nevertheless  barcelona are accustomed to playing big games at the nou camp  where they have to face the likes of real madrid each season.  it is a special game  the atmosphere in the city changes  there are lots of journalists but inside the dressing room there is not a lot of difference   ronaldinho added.  we are only thinking of winning the match with all respect to the opposition.,"['Football', 'Soccer', 'Technology', 'Business']","[0.6803258657455444, 0.3185889422893524, 0.0005465818103402853, 0.0005385816912166774]",mourinho expects fight to finish chelsea manager jose mourinho expects the champions league clash with barcelona to be a fight to the finish.  mourinho is relishing the first leg of the tie against his former club in the last 16 in the nou camp. he said:  i wouldn t be surprised if nothing had been decided by the last minute of the return leg and the match had to go into extra time.  i have to defend what is mine and the champions league is mine at the moment. i m the last manager to have won it.  mourinho never coached barcelona  assisting both sir bobby robson and louis van gaal. but he is not envious  insisting:  i don t have to be jealous about barcelona because they have 100 years of history and have won the european cup once.   i have been managing for five years and i have the same amount of champions league trophies to my name.  barcelona star ronaldinho admitted:  i think that it is going to be a difficult match for us because chelsea have a good team full of big stars.  i have seen chelsea a few times on television  tactically they are very good and they are very strong on the counter-attack.  they pressure very well and keep possession of the ball so it will be important that we play our own game.  i believe they are the two strongest teams in europe. nevertheless  barcelona are accustomed to playing big games at the nou camp  where they have to face the likes of real madrid each season.  it is a special game  the atmosphere in the city changes  there are lots of journalists but inside the dressing room there is not a lot of difference   ronaldinho added.  we are only thinking of winning the match with all respect to the opposition.,Yes
boro suffer morrison injury blow middlesbrough midfielder james morrison has been ruled out for up to eight weeks after an operation on tuesday.  the 18-year-old  who has played in 13 of the club s last 14 games  had surgery to repair a double hernia. a club spokesman confirmed:  it is a bilateral sportsman s hernia  which was operated on yesterday.  morrison was sent for scans after being substituted at half-time during boro s 2-1 uefa cup win over graz ak in which he scored the equaliser. his injury is the latest blow for the teessiders  who have been without gaizka mendieta  george boateng and mark viduka for extended periods. meanwhile  the kick-off time for boro s uefa cup match at sporting lisbon on 17 march has been brought forward from 2115 gmt to 1945 gmt.,"['Football', 'Soccer', 'Technology', 'Business']","[0.5540950298309326, 0.4449072778224945, 0.0005012896726839244, 0.000496456865221262]",boro suffer morrison injury blow middlesbrough midfielder james morrison has been ruled out for up to eight weeks after an operation on tuesday.  the 18-year-old  who has played in 13 of the club s last 14 games  had surgery to repair a double hernia. a club spokesman confirmed:  it is a bilateral sportsman s hernia  which was operated on yesterday.  morrison was sent for scans after being substituted at half-time during boro s 2-1 uefa cup win over graz ak in which he scored the equaliser. his injury is the latest blow for the teessiders  who have been without gaizka mendieta  george boateng and mark viduka for extended periods. meanwhile  the kick-off time for boro s uefa cup match at sporting lisbon on 17 march has been brought forward from 2115 gmt to 1945 gmt.,
campese berates whingeing england former australian wing david campese has told england to stop whingeing in the wake of their defeat to ireland.  england coach andy robinson lambasted referee jonathan kaplan for costing them the game after disallowing tries from mark cueto and josh lewsey. but campese told bbc sport:  robinson is living up to england s reputation as whingeing poms.  stop going on about it as who really cares  they re acting like they re the first team to be cheated of a win.   england are contemplating a complaint to the international rugby board after potential  tries  by cueto in the first half and lewsey late on were ruled out without recourse to the video referee. but campese added:  scotland could have beaten france in the same way  but do you see them whingeing   basically  things didn t go england s way and  in typical fashion  they make more of it when they believe they ve lost unfairly.   england are second bottom in the six nations table following defeats by wales  france and ireland. but although campese admitted he was surprised about their current predicament  he insisted england were  no longer world class .  england are beginning to realise that being world champions doesn t mean you deserve to win every game   he said.  they lost a few key players and suddenly everyone s realised the ones on the fringes were not all that good in the first place.  added to that  the senior players aren t standing up and they can t do anything when the pressure mounts.   campese  a veteran of 101 international caps  said full-back jason robinson would now be the sole englishman in his world xv. robinson has been blamed for poor leadership in the tournament  while his coach has been castigated for appointing a full-back captain.  i agree that you can t captain from full-back   said campese.  you need someone in the thick of the action  and it s very hard to give orders from all the way back there.  some people are leaders and some aren t. he s not but there s no one who stands out in england s pack - no clear-cut leaders.  campese  though  defended coach andy robinson  who he believes was the  only choice  after sir clive woodward s resignation.  but he blamed  a lack of talent in the england camp  for making the current coach look poor. england face a potential wooden spoon match against italy on 12 march. and the ex-wallaby added:  if england lost that  they d be in bloody turmoil. that said  i don t think they will.  campese has tipped wales to win both the six nations and grand slam come the end of the tournament.  it s been a surprising tournament   he said   and maybe ireland have a little bit more talent overall.  but playing at home is a major boost. and the possible grand slam decider at the millennium stadium will be just too much for the irish.,"['Football', 'Technology', 'Business', 'Soccer']","[0.6871224641799927, 0.11294514685869217, 0.1063864603638649, 0.09354596585035324]",campese berates whingeing england former australian wing david campese has told england to stop whingeing in the wake of their defeat to ireland.  england coach andy robinson lambasted referee jonathan kaplan for costing them the game after disallowing tries from mark cueto and josh lewsey. but campese told bbc sport:  robinson is living up to england s reputation as whingeing poms.  stop going on about it as who really cares  they re acting like they re the first team to be cheated of a win.   england are contemplating a complaint to the international rugby board after potential  tries  by cueto in the first half and lewsey late on were ruled out without recourse to the video referee. but campese added:  scotland could have beaten france in the same way  but do you see them whingeing   basically  things didn t go england s way and  in typical fashion  they make more of it when they believe they ve lost unfairly.   england are second bottom in the six nations table following defeats by wales  france and ireland. but although campese admitted he was surprised about their current predicament  he insisted england were  no longer world class .  england are beginning to realise that being world champions doesn t mean you deserve to win every game   he said.  they lost a few key players and suddenly everyone s realised the ones on the fringes were not all that good in the first place.  added to that  the senior players aren t standing up and they can t do anything when the pressure mounts.   campese  a veteran of 101 international caps  said full-back jason robinson would now be the sole englishman in his world xv. robinson has been blamed for poor leadership in the tournament  while his coach has been castigated for appointing a full-back captain.  i agree that you can t captain from full-back   said campese.  you need someone in the thick of the action  and it s very hard to give orders from all the way back there.  some people are leaders and some aren t. he s not but there s no one who stands out in england s pack - no clear-cut leaders.  campese  though  defended coach andy robinson  who he believes was the  only choice  after sir clive woodward s resignation.  but he blamed  a lack of talent in the england camp  for making the current coach look poor. england face a potential wooden spoon match against italy on 12 march. and the ex-wallaby added:  if england lost that  they d be in bloody turmoil. that said  i don t think they will.  campese has tipped wales to win both the six nations and grand slam come the end of the tournament.  it s been a surprising tournament   he said   and maybe ireland have a little bit more talent overall.  but playing at home is a major boost. and the possible grand slam decider at the millennium stadium will be just too much for the irish.,
edu describes tunnel fracas arsenal s edu has lifted the lid on the scenes that followed manchester united s win over the gunners.  the brazilian confirmed tempers had flared but could shed no light on reports that food was thrown at united boss sir alex ferguson.  i saw people being pulled apart  people pushing  pointing and shouting   he told uefa s official website.  the united players were trying to wind us up about the result but i didn t see any soup being thrown at anyone.  however  edu tried to play down the incidents  adding:  there was nothing that i haven t seen in brazilian derbies.  derby matches in brazil are worse. i like to play in games like this with this intense rivalry.  but edu was highly critical of the ferocity of some of united s challenges during the game  particularly on jose antonio reyes.  i think we were a lot fairer in the tackles than united   he said.  reyes was being kicked all over the park - they were beating up the boy and gary neville was tackling in such a way that he should have been sent off.  following the game  the football association said it would look into events in the tunnel. it also charged ruud van nistelrooy with serious foul play while arsenal boss arsene wenger has been asked to explain comments he made about the referee.,"['Football', 'Soccer', 'Technology', 'Business']","[0.6427027583122253, 0.35658228397369385, 0.00038071474409662187, 0.00033422381966374815]",edu describes tunnel fracas arsenal s edu has lifted the lid on the scenes that followed manchester united s win over the gunners.  the brazilian confirmed tempers had flared but could shed no light on reports that food was thrown at united boss sir alex ferguson.  i saw people being pulled apart  people pushing  pointing and shouting   he told uefa s official website.  the united players were trying to wind us up about the result but i didn t see any soup being thrown at anyone.  however  edu tried to play down the incidents  adding:  there was nothing that i haven t seen in brazilian derbies.  derby matches in brazil are worse. i like to play in games like this with this intense rivalry.  but edu was highly critical of the ferocity of some of united s challenges during the game  particularly on jose antonio reyes.  i think we were a lot fairer in the tackles than united   he said.  reyes was being kicked all over the park - they were beating up the boy and gary neville was tackling in such a way that he should have been sent off.  following the game  the football association said it would look into events in the tunnel. it also charged ruud van nistelrooy with serious foul play while arsenal boss arsene wenger has been asked to explain comments he made about the referee.,
tottenham bid &#163;8m for forest duo nottingham forest have confirmed they have received an £8m bid from tottenham for andy reid and michael dawson.  reid rejected a move to southampton after forest accepted a cash-plus-players offer while spurs had made previous bids for the 22-year-old. spurs had also made an undisclosed offer for 21-year-old defender dawson. forest chief executive mark arthur said:  we ve received an £8m bid from spurs for the two players and we re considering the offer.  southampton s offer for republic of ireland international reid comprised £3m-plus and two players - brett ormerod and darren kenton.  spurs had seen previous bids of £3m  £4m and £5m for reid rejected by the championship club.,"['Football', 'Soccer', 'Business', 'Technology']","[0.7026791572570801, 0.2955275774002075, 0.0013548897113651037, 0.00043831387301906943]",tottenham bid &#163;8m for forest duo nottingham forest have confirmed they have received an £8m bid from tottenham for andy reid and michael dawson.  reid rejected a move to southampton after forest accepted a cash-plus-players offer while spurs had made previous bids for the 22-year-old. spurs had also made an undisclosed offer for 21-year-old defender dawson. forest chief executive mark arthur said:  we ve received an £8m bid from spurs for the two players and we re considering the offer.  southampton s offer for republic of ireland international reid comprised £3m-plus and two players - brett ormerod and darren kenton.  spurs had seen previous bids of £3m  £4m and £5m for reid rejected by the championship club.,
beckham relief as real go through david beckham expressed his relief at real madrid s passage to the champions league knockout phase.  after real s 3-0 win at roma  the england skipper admitted another season of under-achievement would not be tolerated at the bernabeu stadium. beckham said:  it s expected of madrid to get through  but it s a relief for the club and players to have won.  we lost momentum last season but we cannot afford to to go another season without winning anything.  real s finish as runners-up in their champions league group means they cannot face his old club manchester united in the next round. but real could be drawn against other premiership hopefuls  arsenal or chelsea  who won their respective groups.  it s going to be great whoever we play  even if we don t get either of the two english teams.,"['Football', 'Soccer', 'Business', 'Technology']","[0.593806266784668, 0.40558329224586487, 0.00032606752938590944, 0.00028437378932721913]",beckham relief as real go through david beckham expressed his relief at real madrid s passage to the champions league knockout phase.  after real s 3-0 win at roma  the england skipper admitted another season of under-achievement would not be tolerated at the bernabeu stadium. beckham said:  it s expected of madrid to get through  but it s a relief for the club and players to have won.  we lost momentum last season but we cannot afford to to go another season without winning anything.  real s finish as runners-up in their champions league group means they cannot face his old club manchester united in the next round. but real could be drawn against other premiership hopefuls  arsenal or chelsea  who won their respective groups.  it s going to be great whoever we play  even if we don t get either of the two english teams.,
robinson out of six nations england captain jason robinson will miss the rest of the six nations because of injury.  robinson  stand-in captain in the absence of jonny wilkinson  had been due to lead england in their final two games against italy and scotland. but the sale full-back pulled out of the squad on wednesday because of a torn ligament in his right thumb. the 30-year-old will undergo an operation on friday but england have yet to name a replacement skipper.  robinson said:  this is very disappointing for me as this means i miss england s last two games in the six nations at twickenham and two games for my club  sale sharks.  but i m looking to be back playing very early in april.   robinson picked up the injury in the 19-13 defeat to ireland at lansdowne road on saturday. and coach andy robinson said:  i am hugely disappointed for jason.  as england captain he has been an immense figure during the autumn internationals and the six nations  leading by example at all times. i look forward to having him back in the england squad.  the announcement is the latest setback for robinson s injury-depleted squad.  among the key figures already missing are jonny wilkinson  mike tindall  will greenwood  julian white and phil vickery - a list which leaves robinson short on candidates for the now vacant captaincy role. former england skipper jeremy guscott told bbc radio five live his choice would be matt dawson  even though he is does not hold a regular starting place.   the obvious choice is dawson  said guscott.  especially given that harry ellis did not have his best game at scrum-half on saturday.  dawson has the credentials and the experience  even though his winning record at captain is not great.  the other option in martin corry  who is the standout forward at the moment.  unfortunately england cannot rely on leaders on the field at the moment.  england will announce their squad for the 12 march game against italy on saturday.,"['Football', 'Soccer', 'Business', 'Technology']","[0.6007978916168213, 0.16663406789302826, 0.1173778623342514, 0.11519020050764084]",robinson out of six nations england captain jason robinson will miss the rest of the six nations because of injury.  robinson  stand-in captain in the absence of jonny wilkinson  had been due to lead england in their final two games against italy and scotland. but the sale full-back pulled out of the squad on wednesday because of a torn ligament in his right thumb. the 30-year-old will undergo an operation on friday but england have yet to name a replacement skipper.  robinson said:  this is very disappointing for me as this means i miss england s last two games in the six nations at twickenham and two games for my club  sale sharks.  but i m looking to be back playing very early in april.   robinson picked up the injury in the 19-13 defeat to ireland at lansdowne road on saturday. and coach andy robinson said:  i am hugely disappointed for jason.  as england captain he has been an immense figure during the autumn internationals and the six nations  leading by example at all times. i look forward to having him back in the england squad.  the announcement is the latest setback for robinson s injury-depleted squad.  among the key figures already missing are jonny wilkinson  mike tindall  will greenwood  julian white and phil vickery - a list which leaves robinson short on candidates for the now vacant captaincy role. former england skipper jeremy guscott told bbc radio five live his choice would be matt dawson  even though he is does not hold a regular starting place.   the obvious choice is dawson  said guscott.  especially given that harry ellis did not have his best game at scrum-half on saturday.  dawson has the credentials and the experience  even though his winning record at captain is not great.  the other option in martin corry  who is the standout forward at the moment.  unfortunately england cannot rely on leaders on the field at the moment.  england will announce their squad for the 12 march game against italy on saturday.,
mourinho takes swipe at arsenal chelsea boss jose mourinho has attempted to pile the pressure on title rivals arsenal ahead of the gunners facing newcastle on wednesday.  arsenal will play the magpies a day after chelsea beat portsmouth during a busy festive programme. and mourinho said:  they always seem to have two or three days  rest in which to recover. perhaps it s something to do with the television schedule.  all my players are tired  especially john terry.   chelsea boss jose mourinho admitted his side were  lucky  to win at fratton park but is still unhappy with the amount of games in such a short space of time during this time of year. he added:  we have had to play two matches in three days which is foreign to many of my players and  although i understand the traditions of football here at this time of year  it is not good for your health to do it.   you can sit back and smoke cigars  one after another  and it is a good life  but it is not actually good for you.  playing so many games is certainly not healthy  especially for teams who still have european commitment.,"['Football', 'Soccer', 'Business', 'Technology']","[0.6762868165969849, 0.32288676500320435, 0.0005189351504668593, 0.00030757495551370084]",mourinho takes swipe at arsenal chelsea boss jose mourinho has attempted to pile the pressure on title rivals arsenal ahead of the gunners facing newcastle on wednesday.  arsenal will play the magpies a day after chelsea beat portsmouth during a busy festive programme. and mourinho said:  they always seem to have two or three days  rest in which to recover. perhaps it s something to do with the television schedule.  all my players are tired  especially john terry.   chelsea boss jose mourinho admitted his side were  lucky  to win at fratton park but is still unhappy with the amount of games in such a short space of time during this time of year. he added:  we have had to play two matches in three days which is foreign to many of my players and  although i understand the traditions of football here at this time of year  it is not good for your health to do it.   you can sit back and smoke cigars  one after another  and it is a good life  but it is not actually good for you.  playing so many games is certainly not healthy  especially for teams who still have european commitment.,
