sequence,labels,scores,original_article,is_football_article
wales want rugby league training wales could follow england s lead by training with a rugby league club.  england have already had a three-day session with leeds rhinos  and wales are thought to be interested in a similar clinic with rivals st helens. saints coach ian millward has given his approval  but if it does happen it is unlikely to be this season. saints have a week s training in portugal next week  while wales will play england in the opening six nations match on 5 february.  we have had an approach from wales   confirmed a saints spokesman.  it s in the very early stages but it is something we are giving serious consideration to.  st helens  who are proud of their welsh connections  are obvious partners for the welsh rugby union  despite a spat in 2001 over the collapse of kieron cunningham s proposed £500 000 move to union side swansea. a similar cross-code deal that took iestyn harris from leeds to cardiff in 2001 did go through  before the talented stand-off returned to the 13-man code with bradford bulls. kel coslett  who famously moved from wales to league in the 1960s  is currently saints  football manager  while clive griffiths - wales  defensive coach - is a former st helens player and is thought to be the man behind the latest initiative. scott gibbs  the former wales and lions centre  played for st helens from 1994-96 and was in the challenge cup-winning team at wembley in 1996.,"['Football', 'Soccer', 'Business', 'Technology']","[0.8955304622650146, 0.0580826960504055, 0.02978290431201458, 0.016603995114564896]",wales want rugby league training wales could follow england s lead by training with a rugby league club.  england have already had a three-day session with leeds rhinos  and wales are thought to be interested in a similar clinic with rivals st helens. saints coach ian millward has given his approval  but if it does happen it is unlikely to be this season. saints have a week s training in portugal next week  while wales will play england in the opening six nations match on 5 february.  we have had an approach from wales   confirmed a saints spokesman.  it s in the very early stages but it is something we are giving serious consideration to.  st helens  who are proud of their welsh connections  are obvious partners for the welsh rugby union  despite a spat in 2001 over the collapse of kieron cunningham s proposed £500 000 move to union side swansea. a similar cross-code deal that took iestyn harris from leeds to cardiff in 2001 did go through  before the talented stand-off returned to the 13-man code with bradford bulls. kel coslett  who famously moved from wales to league in the 1960s  is currently saints  football manager  while clive griffiths - wales  defensive coach - is a former st helens player and is thought to be the man behind the latest initiative. scott gibbs  the former wales and lions centre  played for st helens from 1994-96 and was in the challenge cup-winning team at wembley in 1996.,No
pearce keen on succeeding keegan joint assistant boss stuart pearce has admitted he would like to succeed kevin keegan as manager at manchester city.  keegan has decided to step down as city manager when his contract comes to an end in 18 months.  you don t have to be einstein to realise there will be a manager s job available at a really good club   pearce told bbc gmr.  i will certainly be applying for it  although whether the board deem me good enough to take it  i do not know.  pearce initially joined city as a player under keegan in 2001 before becoming part of the coaching staff. he was promoted to joint assistant-manager following the departure of arthur cox last summer.  the former england defender had a year as player-boss with nottingham forest eight seasons ago but has made no secret of his desire to have another crack at the job. he was linked with the manager s job at oldham and keegan has stated he would not get in the way if pearce wanted to leave. but it now appears pearce is keen to wait for his chance at city. he added:  by that time  i will have been here for five years so at least they will have had a good look at me and they are aware of my feelings with regard to being kevin s successor.  obviously  the issue is out of my hands but it is a fantastic job for anybody - i just hope it will be me.,"['Football', 'Soccer', 'Business', 'Technology']","[0.7398119568824768, 0.2582278251647949, 0.0014722165651619434, 0.00048796107876114547]",pearce keen on succeeding keegan joint assistant boss stuart pearce has admitted he would like to succeed kevin keegan as manager at manchester city.  keegan has decided to step down as city manager when his contract comes to an end in 18 months.  you don t have to be einstein to realise there will be a manager s job available at a really good club   pearce told bbc gmr.  i will certainly be applying for it  although whether the board deem me good enough to take it  i do not know.  pearce initially joined city as a player under keegan in 2001 before becoming part of the coaching staff. he was promoted to joint assistant-manager following the departure of arthur cox last summer.  the former england defender had a year as player-boss with nottingham forest eight seasons ago but has made no secret of his desire to have another crack at the job. he was linked with the manager s job at oldham and keegan has stated he would not get in the way if pearce wanted to leave. but it now appears pearce is keen to wait for his chance at city. he added:  by that time  i will have been here for five years so at least they will have had a good look at me and they are aware of my feelings with regard to being kevin s successor.  obviously  the issue is out of my hands but it is a fantastic job for anybody - i just hope it will be me.,Yes
tottenham bid &#163;8m for forest duo nottingham forest have confirmed they have received an £8m bid from tottenham for andy reid and michael dawson.  reid rejected a move to southampton after forest accepted a cash-plus-players offer while spurs had made previous bids for the 22-year-old. spurs had also made an undisclosed offer for 21-year-old defender dawson. forest chief executive mark arthur said:  we ve received an £8m bid from spurs for the two players and we re considering the offer.  southampton s offer for republic of ireland international reid comprised £3m-plus and two players - brett ormerod and darren kenton.  spurs had seen previous bids of £3m  £4m and £5m for reid rejected by the championship club.,"['Football', 'Soccer', 'Business', 'Technology']","[0.7026791572570801, 0.2955275774002075, 0.0013548897113651037, 0.00043831387301906943]",tottenham bid &#163;8m for forest duo nottingham forest have confirmed they have received an £8m bid from tottenham for andy reid and michael dawson.  reid rejected a move to southampton after forest accepted a cash-plus-players offer while spurs had made previous bids for the 22-year-old. spurs had also made an undisclosed offer for 21-year-old defender dawson. forest chief executive mark arthur said:  we ve received an £8m bid from spurs for the two players and we re considering the offer.  southampton s offer for republic of ireland international reid comprised £3m-plus and two players - brett ormerod and darren kenton.  spurs had seen previous bids of £3m  £4m and £5m for reid rejected by the championship club.,Yes
london irish 19-33 wasps wasps made light of the absence of several internationals to sink london irish with a trio of second-half tries.  rob hoadley returned to haunt his old club at the madejski stadium  scoring the opening try in the 43rd minute. tom voyce powered through the irish defence for wasps  second try before richard birkett went over unchallenged. mark van gisbergen added 18 points. irish replied with three penalties and a mark mapletoft drop goal before scott staniforth ran in a consolation try. barry everitt  who replaced mapletoft late in the game  added the conversion to become the fourth premiership player to reach 1 000 points. he joins jonny wilkinson  tim stimpson and paul grayson in achieving that target. wasps piled on the pressure in an attempt to grab a fourth try which would have secured them a bonus point  but they were denied by some desperate defending from irish. director of rugby warren gatland revealed that harsh words at half-time inspired his wasps side to raise their game after the restart.   they got a roasting and it was a good second-half performance when they came out and played to instructions   he said. gatland also singled out stand-in flankers tom rees and john hart for special praise.  they did very well. the back row played some fantastic rugby   he added. london irish coach gary gold felt the result exposed his side s lack of consistency.  irish trailed by just two points at the break and gold said:  for 55 minutes we lived with the best but we have got to get back for the full 80 minutes.  gold will now turn his attention to next week s powergen cup semi-final at struggling leeds.  we ve got a good chance but with leeds facing possible relegation they re going to come out firing   he added.  horak  staniforth  penney  nordt  bishop; mapletoft  edwards; hatley  van der walt  hardwick; kennedy  casey; gustard  dawson  murphy.  replacements: everitt for mapletoft (53)  hodgson for edwards (77)  wheatley for hatley (71)  paice for van der walt (60)  strudwick for kennedy (60)  danaher for gustard (66)  reid for murphy (47)  van gisbergen; voyce  erinle  hoadley  roberts; king  richards; payne  greening  dowd; shaw  purdy; hart  rees  dallaglio.  replacements: priscott for roberts (71)  green for dowd (71)  skivington for shaw (71)  birkett for hart (57)  gotting for rees (39). not used: fury  brooks,"['Football', 'Soccer', 'Technology', 'Business']","[0.8123041391372681, 0.08667702227830887, 0.0601285919547081, 0.04089030623435974]",london irish 19-33 wasps wasps made light of the absence of several internationals to sink london irish with a trio of second-half tries.  rob hoadley returned to haunt his old club at the madejski stadium  scoring the opening try in the 43rd minute. tom voyce powered through the irish defence for wasps  second try before richard birkett went over unchallenged. mark van gisbergen added 18 points. irish replied with three penalties and a mark mapletoft drop goal before scott staniforth ran in a consolation try. barry everitt  who replaced mapletoft late in the game  added the conversion to become the fourth premiership player to reach 1 000 points. he joins jonny wilkinson  tim stimpson and paul grayson in achieving that target. wasps piled on the pressure in an attempt to grab a fourth try which would have secured them a bonus point  but they were denied by some desperate defending from irish. director of rugby warren gatland revealed that harsh words at half-time inspired his wasps side to raise their game after the restart.   they got a roasting and it was a good second-half performance when they came out and played to instructions   he said. gatland also singled out stand-in flankers tom rees and john hart for special praise.  they did very well. the back row played some fantastic rugby   he added. london irish coach gary gold felt the result exposed his side s lack of consistency.  irish trailed by just two points at the break and gold said:  for 55 minutes we lived with the best but we have got to get back for the full 80 minutes.  gold will now turn his attention to next week s powergen cup semi-final at struggling leeds.  we ve got a good chance but with leeds facing possible relegation they re going to come out firing   he added.  horak  staniforth  penney  nordt  bishop; mapletoft  edwards; hatley  van der walt  hardwick; kennedy  casey; gustard  dawson  murphy.  replacements: everitt for mapletoft (53)  hodgson for edwards (77)  wheatley for hatley (71)  paice for van der walt (60)  strudwick for kennedy (60)  danaher for gustard (66)  reid for murphy (47)  van gisbergen; voyce  erinle  hoadley  roberts; king  richards; payne  greening  dowd; shaw  purdy; hart  rees  dallaglio.  replacements: priscott for roberts (71)  green for dowd (71)  skivington for shaw (71)  birkett for hart (57)  gotting for rees (39). not used: fury  brooks,No
o leary agrees new villa contract aston villa boss david o leary signed a three-and-a-half year contract extension on thursday  securing his future at the club until summer 2008.  o leary s future was in question  but villa chairman doug ellis said he was happy to secure the deal.  david s record since his arrival in 2003 is excellent and he shares the board s amibitions in taking this club forward   he told villa s website.  for this reason it was important we got this right.  o leary put pen to paper after deals were sorted for his right-hand men roy aitken and steve mcgregor.  it was important to me roy and steve  an integral part of my team  should stay for the same time   o leary said on thursday ahead of signing his new deal.  someone has to try and put aston villa back where they should belong and i m up for the challenge. earlier in december  there were rumours o leary would quit if he is not offered a new deal before the end of the season.  but he denied that  saying he was happy to take on the challenge of improving villa s fortunes in the long term.  i want to make sure by the end of the five years i would have been in charge that villa are achieving top six finishes in the premiership on a regular basis   said o leary  who took over at villa park in may 2003.  but to achieve that  and take the next step forward  we do need to bring in quality players.  i would like a couple next month if at all possible to set us on the way.  meanwhile  o leary has rapped skipper olof mellberg for his comments before sunday s derby with birmingham.  mellberg spoke of his dislike of villa s rivals ahead of the match  which steve bruce s side won 2-1.  i ve had more than a quiet word with olof. it s been said within the whole group  not as a one-to-one   he told villa s website.  you shouldn t leave yourself open to be shot down. you shouldn t give people the chance to take cheap shots at you and he set himself up for that.,"['Football', 'Soccer', 'Business', 'Technology']","[0.7620383501052856, 0.23491553962230682, 0.0019438740564510226, 0.0011022688122466207]",o leary agrees new villa contract aston villa boss david o leary signed a three-and-a-half year contract extension on thursday  securing his future at the club until summer 2008.  o leary s future was in question  but villa chairman doug ellis said he was happy to secure the deal.  david s record since his arrival in 2003 is excellent and he shares the board s amibitions in taking this club forward   he told villa s website.  for this reason it was important we got this right.  o leary put pen to paper after deals were sorted for his right-hand men roy aitken and steve mcgregor.  it was important to me roy and steve  an integral part of my team  should stay for the same time   o leary said on thursday ahead of signing his new deal.  someone has to try and put aston villa back where they should belong and i m up for the challenge. earlier in december  there were rumours o leary would quit if he is not offered a new deal before the end of the season.  but he denied that  saying he was happy to take on the challenge of improving villa s fortunes in the long term.  i want to make sure by the end of the five years i would have been in charge that villa are achieving top six finishes in the premiership on a regular basis   said o leary  who took over at villa park in may 2003.  but to achieve that  and take the next step forward  we do need to bring in quality players.  i would like a couple next month if at all possible to set us on the way.  meanwhile  o leary has rapped skipper olof mellberg for his comments before sunday s derby with birmingham.  mellberg spoke of his dislike of villa s rivals ahead of the match  which steve bruce s side won 2-1.  i ve had more than a quiet word with olof. it s been said within the whole group  not as a one-to-one   he told villa s website.  you shouldn t leave yourself open to be shot down. you shouldn t give people the chance to take cheap shots at you and he set himself up for that.,Yes
ireland 21-19 argentina an injury-time dropped goal by ronan o gara stole victory for ireland from underneath the noses of argentina at lansdowne road on saturday.  o gara kicked all of ireland s points  with two dropped goals and five penalties  to give the home side a 100% record in their autumn internationals. an impressive argentina appeared in control until the dying seconds. the pumas shocked the irish early on with a try from federico aramburu  and felipe contepomi kicked 14 points. the well-drilled and sharper pumas out-played and out-thought ireland in the early stages. indiscipline allowed argentina s leinster fly-half contepomi to open the scoring in the third minute with a straightforward penalty. he was on the mark again two minutes later when argentina shocked a ragged ireland with the first try of the game. ireland turned the ball over and manuel contepomi broke through an unstructured defence before feeding his midfield partner aramburu to sprint in under the posts. o gara finally got ireland on the board with a dropped goal in the ninth minute only for contepomi to rifle over his second penalty two minutes later. playing into a strong wind and rain  ireland continued to come second best in tight situations  and turnovers began to mount up against a rugged defence. o gara managed to land his second penalty in the 36th minute  but once again contepomi replied in kind four minutes into first-half injury time. the second-half started as the first had ended. o gara rifled over another penalty in the 45th minute  but contepomi matched it three minutes later. the upper-body strength of the pumas never allowed ireland to take control up front  while the three-quarters had no space to manoeuvre. ireland had to rely on o gara s boot to keep in touch rather than any contrived running plays. the munsterman landed two more penalties - one of them from 48 metres - to bring his team to within four points with 13 minutes on the clock remaining. and ireland s chance came when argentina s number eight gonzalo longo was yellow carded with six minutes to go for an offence in the line-out. o gara made no mistake as he rifled over his fifth penalty to set up a tense final few minutes. but ireland showed great composure to get themselves into a position to allow o gara to thump over a massive drop goal to complete a tremendous  if fortuitous  comeback.,"['Football', 'Soccer', 'Business', 'Technology']","[0.8065298795700073, 0.16155675053596497, 0.017035918310284615, 0.014877398498356342]",ireland 21-19 argentina an injury-time dropped goal by ronan o gara stole victory for ireland from underneath the noses of argentina at lansdowne road on saturday.  o gara kicked all of ireland s points  with two dropped goals and five penalties  to give the home side a 100% record in their autumn internationals. an impressive argentina appeared in control until the dying seconds. the pumas shocked the irish early on with a try from federico aramburu  and felipe contepomi kicked 14 points. the well-drilled and sharper pumas out-played and out-thought ireland in the early stages. indiscipline allowed argentina s leinster fly-half contepomi to open the scoring in the third minute with a straightforward penalty. he was on the mark again two minutes later when argentina shocked a ragged ireland with the first try of the game. ireland turned the ball over and manuel contepomi broke through an unstructured defence before feeding his midfield partner aramburu to sprint in under the posts. o gara finally got ireland on the board with a dropped goal in the ninth minute only for contepomi to rifle over his second penalty two minutes later. playing into a strong wind and rain  ireland continued to come second best in tight situations  and turnovers began to mount up against a rugged defence. o gara managed to land his second penalty in the 36th minute  but once again contepomi replied in kind four minutes into first-half injury time. the second-half started as the first had ended. o gara rifled over another penalty in the 45th minute  but contepomi matched it three minutes later. the upper-body strength of the pumas never allowed ireland to take control up front  while the three-quarters had no space to manoeuvre. ireland had to rely on o gara s boot to keep in touch rather than any contrived running plays. the munsterman landed two more penalties - one of them from 48 metres - to bring his team to within four points with 13 minutes on the clock remaining. and ireland s chance came when argentina s number eight gonzalo longo was yellow carded with six minutes to go for an offence in the line-out. o gara made no mistake as he rifled over his fifth penalty to set up a tense final few minutes. but ireland showed great composure to get themselves into a position to allow o gara to thump over a massive drop goal to complete a tremendous  if fortuitous  comeback.,No
white prepared for battle tough-scrummaging prop julian white is expecting a resurgent wales to give him a rough ride in england s six nations opener in cardiff on saturday.  the leicester tight-head is in the form of his life  making the england number three shirt his own. but he knows wales will put his technique under immense scrutiny.  the welsh scrum is a force to be reckoned with   he told bbc sport.  they have made a lot of changes for the better over the last few years.  white is also impressed with the welsh pack s strength in depth.  gethin jenkins is starting at loose-head for them. he has played a bit at tight-head but i think his favoured position is loose-head and he is very good   he added. the 31-year-old has made a massive contribution to the england and leicester cause of late and is arguably the form tight-head prop in the world.  he destroyed south africa s os du randt in the scrum at twickenham last autumn to give england the platform for an impressive 32-16 victory. leicester  who signed white from bristol when the west country side were relegated from the zurich premiership in the summer of 2003  have also been aided by white s presence this season. the tigers are sitting pretty at the top of the premiership table and have also booked their place in the last eight of the heineken cup.  i am pleased with my form   he said.  but my form is helped by the people i play with at leicester - people like martin johnson and graham rowntree.  it s been a good season so far and to be in the starting xv for the first game of the six nations is what every player wants.  i am delighted with the way things have gone but we have to get it right this weekend.  white is now one of the more experienced members of the england squad which takes to the field on saturday. injuries have taken their toll and coach andy robinson has been deprived of richard hill  jonny wilkinson  martin corry  mike tindall  will greenwood and stuart abbott.  and with 27 caps and a world cup winner s medal to his name  white is now in a position to offer his experience to youngsters such as centres matthew tait and jamie noon.  i don t know how much experience a tight-head can give a centre but you are there to give them a pat on the back if things go wrong or to be there if they want to talk in any way   he added.  when i first came into the squad  people like jason leonard and martin johnson were the first to come over and talk through things and help out.   it gives you a lot of confidence when people like that speak to you.  i was in awe of a lot of them so to sit down and speak with them and realise you are on the same wavelength is good.  white missed the vast majority of last year s six nations because of a knee injury and is raring for the 2005 event to get going. and that is despite the opening game taking place amid the red-hot atmosphere in cardiff.  i enjoy the atmosphere. the millennium stadium is probably one of the best stadiums in the world   he said.  to go down there and hear the shouting and the singing - it s one of my favourite places to play.  this is probably the most even six nations for a long time. england  ireland  france and wales are all contenders.  on form  ireland should be favourites but you just don t know - that s the great thing about this tournament.,"['Football', 'Soccer', 'Business', 'Technology']","[0.8140727877616882, 0.08381498605012894, 0.05577978119254112, 0.04633242264389992]",white prepared for battle tough-scrummaging prop julian white is expecting a resurgent wales to give him a rough ride in england s six nations opener in cardiff on saturday.  the leicester tight-head is in the form of his life  making the england number three shirt his own. but he knows wales will put his technique under immense scrutiny.  the welsh scrum is a force to be reckoned with   he told bbc sport.  they have made a lot of changes for the better over the last few years.  white is also impressed with the welsh pack s strength in depth.  gethin jenkins is starting at loose-head for them. he has played a bit at tight-head but i think his favoured position is loose-head and he is very good   he added. the 31-year-old has made a massive contribution to the england and leicester cause of late and is arguably the form tight-head prop in the world.  he destroyed south africa s os du randt in the scrum at twickenham last autumn to give england the platform for an impressive 32-16 victory. leicester  who signed white from bristol when the west country side were relegated from the zurich premiership in the summer of 2003  have also been aided by white s presence this season. the tigers are sitting pretty at the top of the premiership table and have also booked their place in the last eight of the heineken cup.  i am pleased with my form   he said.  but my form is helped by the people i play with at leicester - people like martin johnson and graham rowntree.  it s been a good season so far and to be in the starting xv for the first game of the six nations is what every player wants.  i am delighted with the way things have gone but we have to get it right this weekend.  white is now one of the more experienced members of the england squad which takes to the field on saturday. injuries have taken their toll and coach andy robinson has been deprived of richard hill  jonny wilkinson  martin corry  mike tindall  will greenwood and stuart abbott.  and with 27 caps and a world cup winner s medal to his name  white is now in a position to offer his experience to youngsters such as centres matthew tait and jamie noon.  i don t know how much experience a tight-head can give a centre but you are there to give them a pat on the back if things go wrong or to be there if they want to talk in any way   he added.  when i first came into the squad  people like jason leonard and martin johnson were the first to come over and talk through things and help out.   it gives you a lot of confidence when people like that speak to you.  i was in awe of a lot of them so to sit down and speak with them and realise you are on the same wavelength is good.  white missed the vast majority of last year s six nations because of a knee injury and is raring for the 2005 event to get going. and that is despite the opening game taking place amid the red-hot atmosphere in cardiff.  i enjoy the atmosphere. the millennium stadium is probably one of the best stadiums in the world   he said.  to go down there and hear the shouting and the singing - it s one of my favourite places to play.  this is probably the most even six nations for a long time. england  ireland  france and wales are all contenders.  on form  ireland should be favourites but you just don t know - that s the great thing about this tournament.,No
giggs handed wales leading role ryan giggs will captain wales as he wins his 50th cap in wednesday s friendly against hungary in cardiff.  john toshack  in his first game as coach after succeeding mark hughes  admits he is surprised that giggs has only just reached the landmark.  with the games he s played for united  proportionately it doesn t seem that many for wales   toshack said.  but he s one of the greatest of all welsh internationals and on his 50th cap it s appropriate he s captain.  giggs admits he had briefly considered retirement from the international game  but is now targetting playing for wales in the 2008 european championships. the manchester united wing revealed how club manager sir alex ferguson talked him into extending his wales career.  i briefly discussed my international future with sir alex  but he urged me to carry on   giggs said.  he feels  like myself  that i have no weight problems and keep myself fit  so in three or four years  time i will be able to play in the european finals if we get there.  the manager has always wanted me to play for my club and country and he was keen for me to continue because i am fit enough.   giggs admits he was wavering and considering joining the likes of former wales skipper gary speed and united team-mate paul scholes in committing the remaining years of his career to club football. but giggs is now focussed on making the toshack era even more successful than the time hughes spent at the helm. the manchester united winger won his first cap as a 17-year-old in 1991  an away loss to germany  and now faces his landmark appearance at the age of 31. with giggs leading wales out against hungary  there is every chance that he will become the permanent successor to speed. however  toshack refused to reveal whether he sees giggs as a long-term option.  for this particular game i think it is appropriate that ryan giggs will be captain  it s his 50th cap and he s known for some time about that   toshack said. on wednesday night toshack takes charge of his first match since replacing hughes  and giggs said:  it s my 50th cap and i am looking forward to it  and i hope to play a lot more times from here on in.  it s important to be here  all the players feel the same. it s a new start and all the top players certainly see it as important.  i see myself leading by example  it is something i have taken on for wales as well as united these past few seasons.  the way john is looking at things  he is aiming to build his side around the experienced lads right up to the next tournament  the euro 2006 event.  i have told john i will be around for the next european tournament  by then i will be 35 so hopefully i will still be okay.  a lot can happen  but i m hoping to be around.  giggs  own personal future at old trafford is still up in the air as he has yet to reach agreement on a new contract  with manchester united offering one extra year and giggs seeking two.  i have put the contract thing to the back of my mind at the moment   said giggs.  it is an important period for the club and i am just concentrated on that.  i ve heard the suggestions  hopefully there is a two-year deal about to be offered because that is what i am looking for  to get it sorted out.  i m enjoying my football  the way united have been playing and my own form  you have to enjoy it.  we have massive games coming up: manchester city this week  then the everton cup tie  followed by ac milan in the champions league  and my first wales game under john toshack  so it s an important time.,"['Football', 'Soccer', 'Technology', 'Business']","[0.8160765767097473, 0.17173272371292114, 0.007789419963955879, 0.004401287063956261]",giggs handed wales leading role ryan giggs will captain wales as he wins his 50th cap in wednesday s friendly against hungary in cardiff.  john toshack  in his first game as coach after succeeding mark hughes  admits he is surprised that giggs has only just reached the landmark.  with the games he s played for united  proportionately it doesn t seem that many for wales   toshack said.  but he s one of the greatest of all welsh internationals and on his 50th cap it s appropriate he s captain.  giggs admits he had briefly considered retirement from the international game  but is now targetting playing for wales in the 2008 european championships. the manchester united wing revealed how club manager sir alex ferguson talked him into extending his wales career.  i briefly discussed my international future with sir alex  but he urged me to carry on   giggs said.  he feels  like myself  that i have no weight problems and keep myself fit  so in three or four years  time i will be able to play in the european finals if we get there.  the manager has always wanted me to play for my club and country and he was keen for me to continue because i am fit enough.   giggs admits he was wavering and considering joining the likes of former wales skipper gary speed and united team-mate paul scholes in committing the remaining years of his career to club football. but giggs is now focussed on making the toshack era even more successful than the time hughes spent at the helm. the manchester united winger won his first cap as a 17-year-old in 1991  an away loss to germany  and now faces his landmark appearance at the age of 31. with giggs leading wales out against hungary  there is every chance that he will become the permanent successor to speed. however  toshack refused to reveal whether he sees giggs as a long-term option.  for this particular game i think it is appropriate that ryan giggs will be captain  it s his 50th cap and he s known for some time about that   toshack said. on wednesday night toshack takes charge of his first match since replacing hughes  and giggs said:  it s my 50th cap and i am looking forward to it  and i hope to play a lot more times from here on in.  it s important to be here  all the players feel the same. it s a new start and all the top players certainly see it as important.  i see myself leading by example  it is something i have taken on for wales as well as united these past few seasons.  the way john is looking at things  he is aiming to build his side around the experienced lads right up to the next tournament  the euro 2006 event.  i have told john i will be around for the next european tournament  by then i will be 35 so hopefully i will still be okay.  a lot can happen  but i m hoping to be around.  giggs  own personal future at old trafford is still up in the air as he has yet to reach agreement on a new contract  with manchester united offering one extra year and giggs seeking two.  i have put the contract thing to the back of my mind at the moment   said giggs.  it is an important period for the club and i am just concentrated on that.  i ve heard the suggestions  hopefully there is a two-year deal about to be offered because that is what i am looking for  to get it sorted out.  i m enjoying my football  the way united have been playing and my own form  you have to enjoy it.  we have massive games coming up: manchester city this week  then the everton cup tie  followed by ac milan in the champions league  and my first wales game under john toshack  so it s an important time.,Yes
keegan hails comeback king fowler manchester city boss kevin keegan has praised striker robbie fowler for his landmark return to form.  the 29-year-old  out of favour at city earlier this season  took his premiership goal tally past 150 with a brace in monday s 3-2 win at norwich.  he is still a quality player and knows where the net is - we have just got to supply him with ammunition and  in the end  we did   keegan said.  he has worked hard to get back to where he is now.  the former liverpool striker  who moved to city in 2003 after a poor stint at leeds  has battled back into first-team contention after struggling with fitness at the start of the season.  fowler overtook les ferdinand on tuesday evening to become the third highest scorer of all time in the premiership  with 151 goals  and he only trails alan shearer (250) and andy cole (173). and keegan believes there is still more to come from the former england forward.  he can get better if we can supply him better   added keegan.  people want to write him off but if he has kept the articles of those people who have written him off he could throw them back at them and they would be left with a bit of egg on their face.  fowler s double strike helped city come back from two goals down to clinch a dramatic win at carrow road and keegan sympathised with norwich boss nigel worthington afterwards.  i feel a bit for nigel worthington   he said.  his team have got great character  they have a lot of drive and enthusiasm.  i know it is a killer blow for norwich but i really think they have brought something to the premiership.  the stadium and the atmosphere is great  it is just a tough league to stay in - as they are finding out and as we know.,"['Football', 'Soccer', 'Technology', 'Business']","[0.7338937520980835, 0.2644801735877991, 0.0008872078615240753, 0.000738865346647799]",keegan hails comeback king fowler manchester city boss kevin keegan has praised striker robbie fowler for his landmark return to form.  the 29-year-old  out of favour at city earlier this season  took his premiership goal tally past 150 with a brace in monday s 3-2 win at norwich.  he is still a quality player and knows where the net is - we have just got to supply him with ammunition and  in the end  we did   keegan said.  he has worked hard to get back to where he is now.  the former liverpool striker  who moved to city in 2003 after a poor stint at leeds  has battled back into first-team contention after struggling with fitness at the start of the season.  fowler overtook les ferdinand on tuesday evening to become the third highest scorer of all time in the premiership  with 151 goals  and he only trails alan shearer (250) and andy cole (173). and keegan believes there is still more to come from the former england forward.  he can get better if we can supply him better   added keegan.  people want to write him off but if he has kept the articles of those people who have written him off he could throw them back at them and they would be left with a bit of egg on their face.  fowler s double strike helped city come back from two goals down to clinch a dramatic win at carrow road and keegan sympathised with norwich boss nigel worthington afterwards.  i feel a bit for nigel worthington   he said.  his team have got great character  they have a lot of drive and enthusiasm.  i know it is a killer blow for norwich but i really think they have brought something to the premiership.  the stadium and the atmosphere is great  it is just a tough league to stay in - as they are finding out and as we know.,Yes
liverpool revel in night of glory liverpool manager rafael benitez said their qualification for the next stage of the champions league was  one of the proudest nights of my career.   the reds beat olympiakos 3-1 with a late steven gerrard strike and benitez said:  it was a really great night.  the players ran hard all the time and you see how much it means to the fans.  we knew before the game that it was very important for the club to gain these extra finances. for liverpool  this result is very  very important.  benitez hailed gerrard for his match-winning strike four minutes from time and also the anfield crowd for sticking by their side after they had fallen a goal behind at the interval. the reds scored three second-half goals in a sensational comeback capped by gerrard s 20-yard drive. he added:  steven can play all over the pitch and he influences every part of the game.   i have said to him many times that he has the freedom because he has talent and is very important to us.  i felt that the difference between the sides was really our supporters  i cannot thank them enough.  i want to say thank-you to the supporters  they were magnificent to help us achieve this result.  gerrard admitted he thought they were going out of the champions league after trailing 1-0 at half-time. he said:  i d be lying if i thought we were going through when we were losing at half-time.   we had a mountain to climb  but we have climbed it and credit to everyone.  that was one of the best goals i have scored  i caught it sweet  i haven t caught one like that for ages. it was a massive night for me and the team.  liverpool s win means all four of england s champions league representatives have reached the knockout stages for the first time.,"['Football', 'Soccer', 'Technology', 'Business']","[0.7842254042625427, 0.21299688518047333, 0.0015953349648043513, 0.0011823585955426097]",liverpool revel in night of glory liverpool manager rafael benitez said their qualification for the next stage of the champions league was  one of the proudest nights of my career.   the reds beat olympiakos 3-1 with a late steven gerrard strike and benitez said:  it was a really great night.  the players ran hard all the time and you see how much it means to the fans.  we knew before the game that it was very important for the club to gain these extra finances. for liverpool  this result is very  very important.  benitez hailed gerrard for his match-winning strike four minutes from time and also the anfield crowd for sticking by their side after they had fallen a goal behind at the interval. the reds scored three second-half goals in a sensational comeback capped by gerrard s 20-yard drive. he added:  steven can play all over the pitch and he influences every part of the game.   i have said to him many times that he has the freedom because he has talent and is very important to us.  i felt that the difference between the sides was really our supporters  i cannot thank them enough.  i want to say thank-you to the supporters  they were magnificent to help us achieve this result.  gerrard admitted he thought they were going out of the champions league after trailing 1-0 at half-time. he said:  i d be lying if i thought we were going through when we were losing at half-time.   we had a mountain to climb  but we have climbed it and credit to everyone.  that was one of the best goals i have scored  i caught it sweet  i haven t caught one like that for ages. it was a massive night for me and the team.  liverpool s win means all four of england s champions league representatives have reached the knockout stages for the first time.,Yes
